Round,Global Train Loss,Global Validation Loss,Global Top1 Accuracy (%),Global Top5 Accuracy (%),Precision,Recall,F1-Score,Participants,Clients
0,0.49486814441979615,1.7943306602478026,46.02,93.04,0.36661445106367485,0.4602,0.36227391998911396,5,"[14, 49, 11, 1, 22]"
1,0.535005381617161,1.2985396572113037,53.53,98.65,0.4828526552493733,0.5353,0.4589220218325897,5,"[13, 21, 14, 39, 26]"
2,0.3873604435353356,0.956202594089508,68.6,98.62,0.7136467193073928,0.686,0.6400285551046051,5,"[20, 48, 42, 18, 0]"
3,0.4125473387215067,0.626184843301773,75.6,99.62,0.8126703407081525,0.756,0.7315897760634756,5,"[11, 44, 29, 34, 26]"
4,0.2042631005667232,0.7991033638477325,69.82,99.46,0.7963984141652309,0.6982,0.6350562563122906,5,"[21, 43, 48, 26, 2]"
5,0.1719765486317516,0.6124456914424896,76.0,99.45,0.807121163572003,0.76,0.7268967031523235,5,"[31, 17, 4, 26, 34]"
6,0.1255442828132103,0.5729617111682892,80.89,99.48,0.8305160040636771,0.8089,0.7873812057177314,5,"[33, 5, 40, 4, 14]"
7,0.1494225469640263,0.5912471848964691,78.76,99.3,0.8012511284712215,0.7876,0.7713521354121714,5,"[18, 26, 36, 33, 17]"
8,0.26147768700972834,0.496945885181427,82.27,99.48,0.8514666105028187,0.8227,0.7934223016481067,5,"[5, 39, 48, 35, 21]"
9,0.22273943658072906,0.6378781270503998,78.82,99.59,0.8118528658798974,0.7882,0.7690306967493338,5,"[23, 12, 33, 36, 14]"
10,0.13641267560356898,0.7569925404071808,73.17,99.59,0.8081283746565197,0.7317,0.6819736285729817,5,"[6, 43, 41, 31, 21]"
11,0.19862447216081228,0.5108946308135986,81.23,99.66,0.829982842430543,0.8123,0.8066560291307341,5,"[40, 3, 0, 47, 37]"
12,0.14433517412057467,0.4484877972841263,84.18,99.72,0.8556546549728151,0.8418,0.8317525974227193,5,"[21, 26, 40, 5, 16]"
13,0.21262198006828367,0.49468004596233367,84.37,99.74,0.868097450625747,0.8437,0.8247786816421121,5,"[35, 34, 1, 42, 4]"
14,0.27425756366904686,0.6068765310287476,76.08,99.67,0.7720141190331308,0.7608,0.7424394427974459,5,"[37, 13, 39, 17, 12]"
15,0.1950893927833283,0.7310644543647766,74.63,99.16,0.7883291600374903,0.7463,0.7118661757103322,5,"[18, 38, 15, 33, 47]"
16,0.16772905977378222,0.47353403372764585,83.43,99.45,0.841746197890423,0.8343,0.821102660700951,5,"[47, 30, 5, 14, 48]"
17,0.18024365361070832,0.6281925476551056,78.46,99.74,0.8322593272772422,0.7846,0.7577478291027999,5,"[16, 19, 15, 36, 7]"
18,0.2600268091134824,0.3811761175990105,85.75,99.79,0.8704430173960427,0.8575,0.85740962086688,5,"[21, 42, 49, 38, 13]"
19,0.09541821980220147,0.6896279602050781,77.1,99.64,0.8501588536536079,0.771,0.7298361002937829,5,"[41, 26, 31, 22, 14]"
20,0.2425653101065309,0.5413797542333603,82.12,99.77,0.8548943219925597,0.8212,0.8087445838914563,5,"[22, 39, 16, 27, 19]"
21,0.15101466604117436,0.5019320756196975,82.58,99.74,0.8452564045840311,0.8258,0.8137292090180561,5,"[20, 30, 22, 11, 45]"
22,0.1616129574510933,0.6500065393924713,78.58,99.69,0.8190691712268966,0.7858,0.7634995392261622,5,"[27, 46, 10, 49, 7]"
23,0.1532270580338952,0.4623726005077362,84.75,99.76,0.8753786996854392,0.8475,0.8361903928234052,5,"[48, 40, 12, 13, 35]"
24,0.3346241917469931,0.4363539573669434,84.24,99.74,0.8666320044787477,0.8424,0.833205815398174,5,"[42, 30, 48, 39, 25]"
25,0.1511334073999157,0.4427588142633438,84.22,99.75,0.8564194134629586,0.8422,0.8383028230019302,5,"[0, 9, 19, 7, 20]"
26,0.13066562057568537,0.49746969571113586,83.17,99.66,0.8615149668533557,0.8317,0.8169787795182148,5,"[21, 41, 33, 15, 48]"
27,0.17589964216940462,0.7047712972640992,76.98,99.71,0.8384801929015857,0.7698,0.7532182647658922,5,"[3, 7, 42, 38, 6]"
28,0.24268000297607464,0.5022916947603225,82.1,99.66,0.8504448139085072,0.821,0.8017664346189847,5,"[44, 26, 18, 48, 27]"
29,0.16246096508087102,0.45447484436035157,82.69,99.83,0.8564634768204514,0.8269,0.8115064220954072,5,"[14, 7, 11, 4, 47]"
30,0.16299765287199033,0.38362421998977664,85.64,99.8,0.8741313735168518,0.8564,0.8581859527038,5,"[9, 34, 15, 41, 14]"
31,0.19026697886007,0.38051826326847077,86.53,99.68,0.8693560585163085,0.8653,0.8632824730814742,5,"[46, 5, 0, 45, 39]"
32,0.11065953133906485,0.4894783444881439,82.09,99.74,0.8562185748220862,0.8209,0.8151470089862922,5,"[3, 41, 25, 37, 9]"
33,0.14401669611538787,0.46459516978263854,83.54,99.64,0.8733918017342945,0.8354,0.8088074756951275,5,"[37, 20, 7, 8, 40]"
