Round,Global Train Loss,Global Validation Loss,Global Top1 Accuracy (%),Global Top5 Accuracy (%),Precision,Recall,F1-Score,Participants,Clients
0,0.49486814441979615,1.3204422388076782,52.61,96.53,0.5657884528965961,0.5261,0.45323824978356153,5,"[14, 49, 11, 1, 22]"
1,0.49462550959616464,1.215106778526306,59.21,99.37,0.686554138501348,0.5921,0.5442091816213318,5,"[13, 21, 14, 39, 26]"
2,0.3559502965188452,0.92589547290802,67.49,99.41,0.7084632423660042,0.6749,0.6241330031158174,5,"[20, 48, 42, 18, 0]"
3,0.3753185165911962,0.6964136044502258,72.75,99.56,0.8228713716765577,0.7275,0.6866177733437935,5,"[11, 44, 29, 34, 26]"
4,0.19501824969349288,0.6917634387969971,74.47,99.39,0.8128505159294533,0.7447,0.7131093641472247,5,"[21, 43, 48, 26, 2]"
5,0.16040965660670037,0.46183561096191406,83.43,99.55,0.8361945487473477,0.8343,0.8306043128178562,5,"[31, 17, 4, 26, 34]"
6,0.12425275670996924,0.6163470241546631,80.26,99.46,0.8351175296233021,0.8026,0.7851120995698055,5,"[33, 5, 40, 4, 14]"
7,0.14056498751655744,0.5942747177600861,78.65,99.22,0.8125487987959088,0.7865,0.7763605305009766,5,"[18, 26, 36, 33, 17]"
8,0.253268745173994,0.47147423677444456,83.78,99.63,0.8626734203099103,0.8378,0.8217152187337599,5,"[5, 39, 48, 35, 21]"
9,0.2069496905667357,0.522463636136055,81.16,99.68,0.834326306741195,0.8116,0.7969955723693843,5,"[23, 12, 33, 36, 14]"
10,0.1325958720526383,0.6066951134681702,77.17,99.68,0.8294094548800862,0.7717,0.7480267786030157,5,"[6, 43, 41, 31, 21]"
11,0.18276843096377138,0.5533935734510421,78.56,99.7,0.8385920432926319,0.7856,0.7707583919794071,5,"[40, 3, 0, 47, 37]"
12,0.1540556122632703,0.46298417370319367,83.66,99.67,0.8612522784662487,0.8366,0.8236144640783836,5,"[21, 26, 40, 5, 16]"
13,0.2058283332573883,0.4814941529750824,83.04,99.78,0.8610170990063619,0.8304,0.8187024275684175,5,"[35, 34, 1, 42, 4]"
14,0.2369301410361866,0.736429945898056,72.62,99.81,0.8647304398019829,0.7262,0.7012054481454095,5,"[37, 13, 39, 17, 12]"
15,0.19383670093718441,0.6022361954212189,78.53,99.4,0.8069904824382698,0.7853,0.7631076286292193,5,"[18, 38, 15, 33, 47]"
16,0.15161696595499435,0.39046523706912994,86.2,99.68,0.8681671123412923,0.862,0.8588301345227491,5,"[47, 30, 5, 14, 48]"
17,0.16911330190715904,0.5134903606653214,81.62,99.68,0.8488536893365839,0.8162,0.7995927735216802,5,"[16, 19, 15, 36, 7]"
18,0.22980638060758637,0.3495580294132233,86.94,99.8,0.8788734167679718,0.8694,0.8707357968509543,5,"[21, 42, 49, 38, 13]"
19,0.0926419120966272,0.47401728842258456,82.43,99.75,0.8664187489116403,0.8243,0.8077179234805552,5,"[41, 26, 31, 22, 14]"
20,0.19221303571098336,0.43506789462566375,84.33,99.77,0.8661608313605018,0.8433,0.8332401141347725,5,"[22, 39, 16, 27, 19]"
21,0.13181315368533758,0.4024381027698517,85.82,99.73,0.8655401785804232,0.8582,0.8562774353690864,5,"[20, 30, 22, 11, 45]"
22,0.1374639022044717,0.42223050426244735,85.23,99.75,0.8629440254041141,0.8523,0.8448052293649229,5,"[27, 46, 10, 49, 7]"
23,0.12389127435668043,0.3393709005355835,87.65,99.82,0.8784022033746671,0.8765,0.8745940788420706,5,"[48, 40, 12, 13, 35]"
24,0.3297809198910456,0.45240489401817324,82.29,99.8,0.8663242037362321,0.8229,0.8255741994707545,5,"[42, 30, 48, 39, 25]"
25,0.12314416243353814,0.4052167947053909,85.44,99.78,0.8635933353573729,0.8544,0.8482693463997717,5,"[0, 9, 19, 7, 20]"
26,0.13372450974779726,0.4519979658126831,84.16,99.73,0.8669937681135552,0.8416,0.8311715224430442,5,"[21, 41, 33, 15, 48]"
27,0.1574130173584749,0.3965107871055603,86.08,99.81,0.8691033592919899,0.8608,0.8552759342635854,5,"[3, 7, 42, 38, 6]"
28,0.15159509319232228,0.41536483948230746,85.23,99.81,0.8645478204429142,0.8523,0.8454157598003703,5,"[44, 26, 18, 48, 27]"
29,0.1339672320241105,0.40711376045942305,85.2,99.86,0.8690563804432422,0.852,0.8433286370474788,5,"[14, 7, 11, 4, 47]"
30,0.14228746619199426,0.341990758562088,87.04,99.79,0.8798015322429532,0.8704,0.8707780830216038,5,"[9, 34, 15, 41, 14]"
31,0.17381021466401245,0.36198146607875825,86.76,99.83,0.8817589516558464,0.8676,0.8679907767003954,5,"[46, 5, 0, 45, 39]"
32,0.09497077697777652,0.4124641927480698,84.67,99.82,0.8729352178396437,0.8467,0.8444449103499646,5,"[3, 41, 25, 37, 9]"
33,0.12892201739901105,0.3829446171045303,86.43,99.72,0.8844233972397915,0.8643,0.8535950040608604,5,"[37, 20, 7, 8, 40]"
34,0.1400432130243039,0.30237173589468,89.03,99.76,0.8906812020303704,0.8903,0.8889194771313532,5,"[17, 43, 41, 39, 0]"
35,0.08747057853466968,0.39738266208171846,86.56,99.82,0.878051173394505,0.8656,0.8593859854478262,5,"[37, 11, 40, 43, 4]"
36,0.09590190352179033,0.4983650794506073,83.64,99.62,0.867488701237066,0.8364,0.8297548391390361,5,"[33, 38, 49, 2, 3]"
37,0.16884679460548183,0.3162992384314537,88.4,99.85,0.8873887147801129,0.884,0.8812151461426236,5,"[42, 1, 37, 4, 15]"
38,0.1541941747509151,0.3132916462779045,88.23,99.89,0.8962461272166482,0.8823,0.883976203830807,5,"[49, 8, 23, 12, 4]"
39,0.08770509199464957,0.4629771496772766,83.76,99.81,0.8655956845977846,0.8376,0.8336382169399018,5,"[6, 9, 37, 46, 3]"
40,0.1407169229188331,0.3516200935125351,87.6,99.82,0.8865540266354821,0.876,0.867430992462651,5,"[44, 16, 29, 10, 49]"
41,0.1595826412595937,0.3248301885128021,88.12,99.82,0.8924111803663931,0.8812,0.8829172851679817,5,"[29, 46, 0, 15, 44]"
42,0.06632513660522911,0.4551866514205933,86.66,99.72,0.8893240590296274,0.8666,0.8546823516022827,5,"[41, 6, 48, 32, 22]"
43,0.1744093131745268,0.323596174800396,88.12,99.85,0.8878853326431124,0.8812,0.8820589923826639,5,"[4, 12, 10, 23, 42]"
44,0.11620773421691473,0.3804157084584236,87.48,99.83,0.8923177994899557,0.8748,0.8650054486067406,5,"[1, 23, 15, 14, 16]"
45,0.10559825371601547,0.3091977617383003,89.1,99.82,0.895399937399302,0.891,0.8859726662458012,5,"[25, 21, 32, 20, 23]"
46,0.1105120407685293,0.3343146678686142,87.82,99.84,0.8833748465753082,0.8782,0.8764652638516552,5,"[23, 47, 1, 48, 11]"
47,0.10682222380953026,0.41407674372196196,86.18,99.66,0.8808156246088352,0.8618,0.8472435921178543,5,"[18, 14, 46, 27, 2]"
48,0.1436906405596136,0.3023509582400322,89.24,99.79,0.8947698237731317,0.8924,0.8907808815971641,5,"[19, 6, 2, 15, 28]"
49,0.11517960912881817,0.33629154598712924,88.17,99.83,0.8939090446566035,0.8817,0.8743079567375387,5,"[42, 16, 2, 35, 27]"
50,0.057934985742332745,0.36480255697965625,87.9,99.73,0.8919472040008927,0.879,0.8671943817492529,5,"[49, 3, 18, 40, 20]"
51,0.1137541538311257,0.3850670337438583,87.41,99.79,0.888405784660729,0.8741,0.8689470811102082,5,"[7, 8, 24, 45, 27]"
