Round,Global Train Loss,Global Validation Loss,Global Top1 Accuracy (%),Global Top5 Accuracy (%),Precision,Recall,F1-Score,Participants,Clients
0,0.5129398566212957,1.4827734451293946,52.68,92.47,0.5895605865101765,0.5268,0.4248774553031639,5,"[14, 49, 11, 1, 22]"
1,0.5058129578503149,1.3940168027877808,54.17,98.45,0.5981314535664984,0.5417,0.4559302519314949,5,"[13, 21, 14, 39, 26]"
2,0.38232921365024924,0.8447221095085145,69.56,98.91,0.6905768899525456,0.6956,0.6489342901993073,5,"[20, 48, 42, 18, 0]"
3,0.3967202193601057,0.8049849858283996,74.21,99.24,0.7349191904703892,0.7421,0.710134489806471,5,"[11, 44, 29, 34, 26]"
4,0.20888511913692026,0.7803212598323822,69.63,99.39,0.7975241458357057,0.6963,0.6338996933807023,5,"[21, 43, 48, 26, 2]"
5,0.1650594346075418,0.4683489138126373,82.64,99.58,0.8453927103546708,0.8264,0.8270703392747591,5,"[31, 17, 4, 26, 34]"
6,0.13210447928216587,0.5995872971534729,80.2,99.39,0.823113745360167,0.802,0.7838394386807231,5,"[33, 5, 40, 4, 14]"
7,0.14396656192237048,0.6333581069946289,76.95,99.56,0.8222660470208036,0.7695,0.7607966841216155,5,"[18, 26, 36, 33, 17]"
8,0.28544833505324185,0.4273009962081909,84.52,99.64,0.8600513003286585,0.8452,0.8298413853056176,5,"[5, 39, 48, 35, 21]"
9,0.21292115535832914,0.5334247750997543,81.6,99.72,0.8277647281665897,0.816,0.8067177876691269,5,"[23, 12, 33, 36, 14]"
10,0.13655298252290587,0.6257917674541473,76.59,99.65,0.8331986462551824,0.7659,0.7346801659102449,5,"[6, 43, 41, 31, 21]"
11,0.1986535618171717,0.5655455375194549,77.85,99.75,0.8421300875773459,0.7785,0.7683977396039946,5,"[40, 3, 0, 47, 37]"
12,0.1634392724720207,0.41453814029693603,84.6,99.72,0.8527256065314074,0.846,0.838969809908959,5,"[21, 26, 40, 5, 16]"
13,0.21615526734404517,0.4721611991643906,83.61,99.78,0.8627723788661184,0.8361,0.8287586663473945,5,"[35, 34, 1, 42, 4]"
14,0.23423182539316292,0.5969924782991409,77.71,99.75,0.8693876503096383,0.7771,0.7560379884354387,5,"[37, 13, 39, 17, 12]"
15,0.17538049362380292,0.5141660454511643,81.19,99.58,0.8308537933766978,0.8119,0.8006848696570602,5,"[18, 38, 15, 33, 47]"
16,0.13688402081151022,0.39578698687553404,86.37,99.7,0.8736917223189162,0.8637,0.8582459312593593,5,"[47, 30, 5, 14, 48]"
17,0.16273315065813684,0.4609302948951721,83.79,99.71,0.8604921068662715,0.8379,0.8245921931519126,5,"[16, 19, 15, 36, 7]"
18,0.24472462748248866,0.3671194795012474,85.81,99.83,0.880223131889971,0.8581,0.8599888420582859,5,"[21, 42, 49, 38, 13]"
19,0.09292198680549894,0.5208797290325164,81.78,99.65,0.8564756546030623,0.8178,0.8019105107465242,5,"[41, 26, 31, 22, 14]"
20,0.21489656940416393,0.5913219664573669,81.27,99.78,0.8531628214221982,0.8127,0.8006460498720677,5,"[22, 39, 16, 27, 19]"
21,0.2187296343429701,0.5478488352298737,79.31,99.81,0.8422996405134195,0.7931,0.7815923814421188,5,"[20, 30, 22, 11, 45]"
22,0.1650094611408984,0.45129293053150177,84.56,99.71,0.8594261624753721,0.8456,0.8385265227247917,5,"[27, 46, 10, 49, 7]"
23,0.1420565000009386,0.344329085457325,87.44,99.7,0.8800108463582106,0.8744,0.8674991339257394,5,"[48, 40, 12, 13, 35]"
24,0.24899710427933877,0.4198009896755219,85.28,99.81,0.8791259005779386,0.8528,0.8548778166564683,5,"[42, 30, 48, 39, 25]"
25,0.1302593494543872,0.4208103886604309,85.45,99.68,0.863764317521144,0.8545,0.8439921327174916,5,"[0, 9, 19, 7, 20]"
26,0.13171735354974462,0.43677659623622894,85.35,99.75,0.8719286572365201,0.8535,0.8415463668787792,5,"[21, 41, 33, 15, 48]"
27,0.15740919006581391,0.34398131030797957,87.7,99.81,0.8821840479621833,0.877,0.8730811947740098,5,"[3, 7, 42, 38, 6]"
28,0.15760420424098912,0.5448823350906372,81.41,99.77,0.8488618153568439,0.8141,0.8095486786616187,5,"[44, 26, 18, 48, 27]"
29,0.13140262005511089,0.4397345895528793,84.33,99.84,0.8649007323913315,0.8433,0.8289010429946291,5,"[14, 7, 11, 4, 47]"
30,0.13846163023114938,0.3348334129810333,87.8,99.79,0.8854063967125463,0.878,0.8773459598945241,5,"[9, 34, 15, 41, 14]"
31,0.1803562188217272,0.5543428369045258,78.91,99.69,0.839587589029013,0.7891,0.7740711749143682,5,"[46, 5, 0, 45, 39]"
32,0.15337666899935912,0.47235920391082764,81.82,99.79,0.8698811505046761,0.8182,0.8183886055964016,5,"[3, 41, 25, 37, 9]"
33,0.14702864675153765,0.37576749534606935,86.54,99.83,0.8730047578779065,0.8654,0.8617457899521527,5,"[37, 20, 7, 8, 40]"
34,0.14454113924846201,0.29011481508016584,89.53,99.88,0.8949734381813376,0.8953,0.8940266945153031,5,"[17, 43, 41, 39, 0]"
35,0.1012129657677641,0.42678570703268054,85.04,99.88,0.8761907272188714,0.8504,0.8383001757500218,5,"[37, 11, 40, 43, 4]"
36,0.1063529468486204,0.46845393249988554,85.04,99.62,0.8698686433927858,0.8504,0.8442405369154269,5,"[33, 38, 49, 2, 3]"
37,0.18237804516796746,0.3553072771549225,87.31,99.87,0.8823902324616827,0.8731,0.870938204581143,5,"[42, 1, 37, 4, 15]"
