Round,Global Train Loss,Global Validation Loss,Global Top1 Accuracy (%),Global Top5 Accuracy (%),Precision,Recall,F1-Score,Participants,Clients
0,0.4813625421581496,1.9359444917678832,44.07,65.3,0.37038858901008187,0.4407,0.31468131540974636,5,"[31, 46, 37, 6, 39]"
1,0.34270167137553387,1.7714937755584717,40.33,78.02,0.28289720591630324,0.4033,0.2533670048456599,5,"[8, 37, 5, 11, 27]"
2,0.33995370228347077,1.6790323057174683,43.17,85.35,0.49674773397829386,0.4317,0.312809495518162,5,"[35, 17, 31, 44, 7]"
3,0.29841825700030844,1.3674461563110352,57.81,90.07,0.5324061257403468,0.5781,0.5022289569505455,5,"[24, 40, 31, 6, 4]"
4,0.5539118059471229,0.8152826706409454,73.32,98.11,0.7551488818827623,0.7332,0.6918843385736212,5,"[2, 28, 39, 35, 22]"
5,0.342874015216233,0.621846552848816,78.17,99.61,0.8524940331897862,0.7817,0.7744623593104567,5,"[4, 36, 11, 49, 41]"
6,0.11293156992786202,0.44323641130924224,85.29,98.62,0.886879663881105,0.8529,0.8415417625846406,5,"[6, 34, 3, 17, 15]"
7,0.0489541027206918,0.4390148923635483,87.17,99.2,0.8920438616543656,0.8717,0.865796776052458,5,"[37, 27, 10, 40, 31]"
8,0.12485847612412812,0.40503613216280937,85.03,99.8,0.8934794595318172,0.8503,0.8387446628389814,5,"[7, 28, 27, 37, 12]"
9,0.22052036532125707,0.3588900254607201,85.92,99.77,0.80197068164174,0.8592,0.8221714510420132,5,"[16, 13, 7, 30, 23]"
10,0.11193376064492482,0.3942382457494736,85.64,99.91,0.9139829990987768,0.8564,0.8317357310837746,5,"[9, 14, 2, 12, 46]"
11,0.06679561268482706,0.2375313493847847,91.28,99.9,0.926203629995675,0.9128,0.9099750378856359,5,"[23, 42, 9, 26, 44]"
12,0.04467484000950794,0.29920266805887225,88.16,99.92,0.9098255958610627,0.8816,0.8786479965900061,5,"[0, 11, 17, 32, 27]"
13,0.07250894225863865,0.2913519220471382,90.58,99.79,0.9214008868759774,0.9058,0.9018039542994154,5,"[38, 24, 26, 15, 42]"
14,0.1031400816074353,0.45636101162433623,84.85,99.77,0.8867003959167521,0.8485,0.8428626207471079,5,"[22, 31, 12, 48, 19]"
15,0.07294715071349647,0.19420352926552295,94.49,99.89,0.9497526930467175,0.9449,0.9438937058243461,5,"[49, 46, 26, 9, 14]"
16,0.07223612750573985,0.24822399198412895,92.46,99.84,0.9306860073171987,0.9246,0.923765776413411,5,"[11, 43, 47, 5, 25]"
17,0.0673841784538951,0.3999257942080498,88.04,99.69,0.9184805939073125,0.8804,0.8779785661570577,5,"[33, 10, 18, 49, 6]"
18,0.17211139727021518,0.11063852195590734,96.96,99.95,0.9702414664318075,0.9696,0.9694758668229795,5,"[37, 28, 21, 15, 13]"
19,0.040755649631551566,0.2599578611135483,92.27,99.88,0.9355129713508497,0.9227,0.9233576980049484,5,"[8, 35, 17, 2, 37]"
20,0.05143688174941132,0.20580265578329562,93.45,99.88,0.9420288938899554,0.9345,0.933225153424391,5,"[14, 38, 46, 16, 9]"
21,0.1297011692810064,0.2923167660176754,89.31,99.95,0.9317859429706259,0.8931,0.8856573888014259,5,"[15, 23, 1, 13, 14]"
22,0.057224861088134384,0.20637628399431707,92.27,99.94,0.9392728649087368,0.9227,0.9202041850151818,5,"[12, 27, 20, 26, 17]"
23,0.06379178621491868,0.2984941527724266,91.62,99.79,0.9353975240812269,0.9162,0.9189677169196889,5,"[5, 34, 7, 24, 9]"
24,0.12173705321180635,0.2660777926206589,90.69,99.94,0.9343912494929697,0.9069,0.905264880439613,5,"[13, 0, 38, 10, 28]"
25,0.13706282386925678,0.1300447489053011,96.51,99.96,0.9665477539324069,0.9651,0.9651812132331952,5,"[2, 31, 32, 40, 43]"
26,0.09277207143372876,0.15580174088180065,95.72,99.9,0.9599366830759744,0.9572,0.9570618857209935,5,"[41, 24, 34, 38, 5]"
27,0.10561549855444315,0.09332217698059976,97.08,99.97,0.9715858219453379,0.9708,0.9706340039773611,5,"[2, 49, 43, 0, 35]"
28,0.04145261821637964,0.24902880114614964,91.72,99.95,0.9354360231813431,0.9172,0.9182741194914795,5,"[29, 10, 38, 48, 11]"
29,0.06743736298748033,0.3568357743442059,86.08,99.83,0.8962012408424609,0.8608,0.8514380885650668,5,"[16, 8, 37, 36, 45]"
30,0.06337319472844966,0.1764398846104741,93.32,99.95,0.9455941096863322,0.9332,0.9276663916880894,5,"[3, 24, 12, 46, 36]"
31,0.04503269198483119,0.35930255799889566,87.8,100.0,0.9272604100046774,0.878,0.8689236950617855,5,"[26, 31, 28, 14, 38]"
32,0.05359677895119434,0.48122795798778534,86.77,99.99,0.9283320453845741,0.8677,0.8492712356603573,5,"[11, 41, 14, 40, 21]"
33,0.05943221215309752,0.06442133470959961,97.85,99.99,0.9787794919532539,0.9785,0.9784789037279498,5,"[7, 10, 26, 49, 32]"
34,0.04432693533581977,0.05589148980677128,98.32,100.0,0.983316541575751,0.9832,0.9832013420952651,5,"[43, 13, 15, 5, 28]"
35,0.046259548329963596,0.0667403901077807,97.92,100.0,0.9796105371438291,0.9792,0.9792276325903373,5,"[44, 18, 14, 2, 5]"
36,0.02964639287290042,0.09517204768694937,97.08,99.95,0.971875939788982,0.9708,0.9706967158519408,5,"[31, 4, 36, 38, 46]"
37,0.054278825640267356,0.07382666536346078,97.78,99.99,0.9785529221367351,0.9778,0.9778563289134179,5,"[4, 2, 26, 20, 47]"
38,0.03289893640151349,0.16150508490204812,94.57,99.98,0.9563440933092092,0.9457,0.9457244033031115,5,"[44, 30, 46, 19, 21]"
39,0.04538496822322577,0.23153006417527794,93.29,99.98,0.9496773248874484,0.9329,0.9323616490332701,5,"[35, 2, 39, 38, 30]"
40,0.01709903058613071,0.15418614140171558,94.93,99.97,0.955003967252523,0.9493,0.9493451064800716,5,"[19, 5, 27, 18, 47]"
41,0.04640574057601021,0.1728593727968633,94.7,99.97,0.9531284888328803,0.947,0.9473613773734003,5,"[39, 11, 28, 14, 1]"
42,0.08058650196853537,0.08863635596632957,97.04,99.95,0.9713589543340191,0.9704,0.9702168109098227,5,"[21, 22, 37, 13, 7]"
43,0.01989975819906283,0.07420993109159171,97.74,99.99,0.9779751663547462,0.9774,0.9773592717565823,5,"[39, 18, 8, 26, 3]"
44,0.027164952163488264,0.06358737488230691,98.06,100.0,0.9811171413326941,0.9806,0.980642715646973,5,"[40, 9, 6, 35, 46]"
45,0.027180279270863406,0.07059058420378715,97.74,99.98,0.9779095257875399,0.9774,0.9773463598696639,5,"[11, 37, 23, 41, 29]"
46,0.03734991617632301,0.06220230634305626,97.94,99.99,0.9798892400969531,0.9794,0.9794173343151716,5,"[32, 22, 35, 39, 0]"
