Round,Global Train Loss,Global Validation Loss,Global Top1 Accuracy (%),Global Top5 Accuracy (%),Precision,Recall,F1-Score,Participants,Clients
0,0.4813625421581496,1.9105776639938354,45.12,69.96,0.3085212895719542,0.4512,0.3354271801884629,5,"[31, 46, 37, 6, 39]"
1,0.3151742083124426,1.7549608802795411,51.27,90.0,0.5753241269924658,0.5127,0.4693513647828846,5,"[8, 37, 5, 11, 27]"
2,0.27240584640837284,1.556985474205017,48.89,95.35,0.2895166580966494,0.4889,0.35095641180959675,5,"[35, 17, 31, 44, 7]"
3,0.2908218220718804,1.2289638706207275,56.63,97.16,0.6200997190942439,0.5663,0.5024582443874196,5,"[24, 40, 31, 6, 4]"
4,0.49141984335630073,0.6532408722400666,81.7,98.72,0.8486852534468972,0.817,0.7910762866203193,5,"[2, 28, 39, 35, 22]"
5,0.26316607923019514,0.48632971382141116,81.94,99.82,0.8806698382515846,0.8194,0.7908701895463772,5,"[4, 36, 11, 49, 41]"
6,0.09644106333497886,0.389468604516983,89.16,99.25,0.9067399864978699,0.8916,0.8862092560782466,5,"[6, 34, 3, 17, 15]"
7,0.042535811827907506,0.32842889684438703,90.75,99.75,0.9175918940588168,0.9075,0.9055500660168382,5,"[37, 27, 10, 40, 31]"
8,0.10398073338257445,0.27041776412427426,88.41,99.92,0.9112069884322441,0.8841,0.8652698425400888,5,"[7, 28, 27, 37, 12]"
9,0.2227676931661001,0.18252639770507811,94.52,99.95,0.9490104218216571,0.9452,0.9443340042808958,5,"[16, 13, 7, 30, 23]"
10,0.09014671312806628,0.18401768323779105,93.11,99.94,0.9424902402160363,0.9311,0.927470354243968,5,"[9, 14, 2, 12, 46]"
11,0.11791736469719176,0.18691561459600925,93.41,99.98,0.9435232527945695,0.9341,0.9340611501404005,5,"[23, 42, 9, 26, 44]"
12,0.038909720367226855,0.1735618703365326,94.44,99.97,0.9504758954741779,0.9444,0.9439689732455144,5,"[0, 11, 17, 32, 27]"
13,0.05745780324405321,0.13007246610820294,96.19,99.97,0.9628699532000792,0.9619,0.9618773219480736,5,"[38, 24, 26, 15, 42]"
14,0.08736413681872404,0.25256492349505427,92.48,99.71,0.9326036585122358,0.9248,0.9235160134031838,5,"[22, 31, 12, 48, 19]"
15,0.056948379745695665,0.11357637642771005,96.62,100.0,0.967597822548377,0.9662,0.966140605450788,5,"[49, 46, 26, 9, 14]"
16,0.053594638979134857,0.21068424052000045,93.47,99.96,0.9392602597360321,0.9347,0.9341567368598395,5,"[11, 43, 47, 5, 25]"
17,0.05211907016145993,0.1666858892709017,94.39,99.99,0.9534944705139243,0.9439,0.9438689585138965,5,"[33, 10, 18, 49, 6]"
18,0.11537526815746872,0.09385319456085563,97.22,99.99,0.972710217652817,0.9722,0.9721034512582659,5,"[37, 28, 21, 15, 13]"
19,0.041027496946094574,0.1229842390075326,96.48,99.95,0.9663898464733924,0.9648,0.964669132923323,5,"[8, 35, 17, 2, 37]"
20,0.038155672292376624,0.10504330365732312,96.52,99.97,0.9669656110486828,0.9652,0.9652712772019438,5,"[14, 38, 46, 16, 9]"
21,0.04169278697215932,0.23948561612069608,91.2,99.96,0.9412044649769467,0.912,0.9111688091372294,5,"[15, 23, 1, 13, 14]"
22,0.04868665981476618,0.10399237022176384,96.97,99.95,0.9708055319989964,0.9697,0.9697188031998232,5,"[12, 27, 20, 26, 17]"
23,0.050686476931041294,0.1143083329424262,96.51,99.95,0.9666678848318541,0.9651,0.9649725464018364,5,"[5, 34, 7, 24, 9]"
24,0.029631633416420843,0.11000422953367234,96.18,100.0,0.9652165307610853,0.9618,0.9619649361226369,5,"[13, 0, 38, 10, 28]"
25,0.08376358514331624,0.0857435590274632,97.31,99.98,0.9736576685564667,0.9731,0.9730235043273413,5,"[2, 31, 32, 40, 43]"
26,0.0660660257395658,0.15999392917454242,95.51,99.8,0.9574140476731753,0.9551,0.9541683998244241,5,"[41, 24, 34, 38, 5]"
27,0.09338375921202971,0.08319996547996998,97.49,99.99,0.9753004968986988,0.9749,0.9747672350081661,5,"[2, 49, 43, 0, 35]"
28,0.02915177267798027,0.1926579672396183,93.61,99.99,0.9469412331263427,0.9361,0.9367918333406807,5,"[29, 10, 38, 48, 11]"
29,0.05455133535042447,0.30216227736473084,89.31,99.87,0.9178939323480562,0.8931,0.8878275199260163,5,"[16, 8, 37, 36, 45]"
30,0.05234559345769122,0.16129060264974832,94.34,99.97,0.9516815086459682,0.9434,0.9401407438548637,5,"[3, 24, 12, 46, 36]"
31,0.04214030401098186,0.2652220854967833,90.67,99.99,0.9400925436408415,0.9067,0.9049472274575786,5,"[26, 31, 28, 14, 38]"
32,0.050296959880269984,0.231871827660501,91.9,100.0,0.9451754724943255,0.919,0.9164285293409872,5,"[11, 41, 14, 40, 21]"
33,0.04454277186976733,0.0719638360472396,97.65,100.0,0.9772049243787727,0.9765,0.9764494520249218,5,"[7, 10, 26, 49, 32]"
34,0.05219394998157458,0.07002834742069244,98.22,100.0,0.9823614002077519,0.9822,0.9821905078220023,5,"[43, 13, 15, 5, 28]"
35,0.036931149169157886,0.06077896388303489,98.12,100.0,0.9814122360354437,0.9812,0.9811898092280257,5,"[44, 18, 14, 2, 5]"
36,0.029796128845837953,0.06421483623348176,98.01,100.0,0.9804160387906637,0.9801,0.9801385927762721,5,"[31, 4, 36, 38, 46]"
37,0.03803823835873694,0.07893278846293687,97.6,100.0,0.9768863678778166,0.976,0.9760638382095213,5,"[4, 2, 26, 20, 47]"
38,0.02998219302485966,0.09785051025152207,97.03,99.96,0.9720584821136162,0.9703,0.9701900303924124,5,"[44, 30, 46, 19, 21]"
39,0.031455355696053,0.06185415399055928,97.98,100.0,0.9800584187106987,0.9798,0.9798135520788004,5,"[35, 2, 39, 38, 30]"
40,0.014991886199893462,0.07182860204875469,97.59,100.0,0.9765158259923935,0.9759,0.9759253124568248,5,"[19, 5, 27, 18, 47]"
41,0.03684302164301552,0.06748738861251623,97.78,100.0,0.9782853171059923,0.9778,0.977807881681485,5,"[39, 11, 28, 14, 1]"
42,0.043698895366748064,0.06338739312365652,98.08,99.98,0.981094678376781,0.9808,0.980789333429816,5,"[21, 22, 37, 13, 7]"
43,0.019415217133667267,0.07448398445025087,97.7,100.0,0.9778601189041376,0.977,0.9770289070371564,5,"[39, 18, 8, 26, 3]"
44,0.028036865211078454,0.07326631814446301,97.72,100.0,0.9778589308446801,0.9772,0.9772638142904932,5,"[40, 9, 6, 35, 46]"
45,0.024713533953249406,0.06811937916167081,97.9,100.0,0.9795282270985374,0.979,0.9790081281987674,5,"[11, 37, 23, 41, 29]"
46,0.031212029292233386,0.05761549159400165,98.25,100.0,0.9827876171968415,0.9825,0.9824766353617024,5,"[32, 22, 35, 39, 0]"
47,0.04087411258976194,0.07214804972354323,97.86,100.0,0.9792088414525418,0.9786,0.978632645621132,5,"[2, 43, 4, 26, 28]"
48,0.028242950642176856,0.07158573106890544,97.63,100.0,0.9773284648143599,0.9763,0.9764021764442534,5,"[35, 1, 28, 13, 38]"
49,0.027808367195751738,0.08416920273415744,97.11,100.0,0.9726951064572988,0.9711,0.9711249142729761,5,"[21, 25, 40, 48, 9]"
