Round,Global Train Loss,Global Validation Loss,Global Top1 Accuracy (%),Global Top5 Accuracy (%),Precision,Recall,F1-Score,Participants,Clients
0,1.1647621622114641,1.8819173177719115,47.1,69.81,0.3225001742812218,0.471,0.35782356420346295,5,"[31, 46, 37, 6, 39]"
1,0.925403058773721,2.0643896196365357,38.11,74.4,0.16552735538979693,0.3811,0.22764700673405,5,"[8, 37, 5, 11, 27]"
2,0.9318150126932554,1.7164156505584718,44.59,84.93,0.328841768997045,0.4459,0.3411477768506358,5,"[35, 17, 31, 44, 7]"
3,0.7822751479818747,1.5499117069244386,57.04,88.24,0.4569916980677904,0.5704,0.48545368745560424,5,"[24, 40, 31, 6, 4]"
4,1.1174444820900347,0.7643999274253845,76.77,97.23,0.7406264383531201,0.7677,0.704683751149757,5,"[2, 28, 39, 35, 22]"
5,0.8247088407410914,0.2460306374132633,94.37,99.85,0.9471956382717232,0.9437,0.9438643651759315,5,"[4, 36, 11, 49, 41]"
6,0.605493659253546,0.3361827346086502,90.2,99.3,0.9172485012775454,0.902,0.8996450894347603,5,"[6, 34, 3, 17, 15]"
7,0.2613583052435046,0.5977799040555954,82.92,99.84,0.8734505837430168,0.8292,0.7974753269258081,5,"[37, 27, 10, 40, 31]"
8,0.485393505350382,0.29722871636152265,88.87,99.89,0.9053443358559055,0.8887,0.8803290494785265,5,"[7, 28, 27, 37, 12]"
9,0.8446143381358387,0.8643007556915283,70.18,99.63,0.8498776705293625,0.7018,0.6591314903220775,5,"[16, 13, 7, 30, 23]"
10,0.6121876265505244,0.22440582044124605,93.17,99.95,0.9439706306807583,0.9317,0.9295850286843239,5,"[9, 14, 2, 12, 46]"
11,0.6766728789736611,0.15449811668395996,95.72,99.95,0.9599839424855953,0.9572,0.9571234994820985,5,"[23, 42, 9, 26, 44]"
12,0.4961693007466412,0.14438370160609484,95.46,99.96,0.9582795490473416,0.9546,0.954532308757456,5,"[0, 11, 17, 32, 27]"
13,0.31465889606205827,0.09926959432587028,97.03,99.99,0.9708170448243459,0.9703,0.9702937963237548,5,"[38, 24, 26, 15, 42]"
14,0.4295046295545193,0.29897995044589043,90.76,99.81,0.9230616186429581,0.9076,0.9025941479959718,5,"[22, 31, 12, 48, 19]"
15,0.25315768196326016,0.0830470113940537,97.54,99.98,0.9756812861922295,0.9754,0.9753735539571264,5,"[49, 46, 26, 9, 14]"
16,0.5207060358017133,0.16573092335164546,94.49,99.95,0.9499992529475916,0.9449,0.9447285366819053,5,"[11, 43, 47, 5, 25]"
17,0.41991622928401595,0.17641430809497832,93.73,99.99,0.9513341864960517,0.9373,0.9384421267349995,5,"[33, 10, 18, 49, 6]"
18,0.3544606833297491,0.1860398879852146,93.07,99.93,0.942192697782655,0.9307,0.9235809961034446,5,"[37, 28, 21, 15, 13]"
19,0.1596415434402628,0.15183552716299892,95.63,99.94,0.9583344329517156,0.9563,0.9554265274029871,5,"[8, 35, 17, 2, 37]"
20,0.14228067703638975,0.08049186487793922,97.73,99.98,0.9777958608676106,0.9773,0.9772468515011,5,"[14, 38, 46, 16, 9]"
21,0.44193632246786896,0.11742791006192566,96.21,99.98,0.9655700400676341,0.9621,0.9624630100668462,5,"[15, 23, 1, 13, 14]"
22,0.2648092769095255,0.09952033163756133,97.05,99.97,0.9714120738671931,0.9705,0.9705512202012857,5,"[12, 27, 20, 26, 17]"
23,0.18426673099091914,0.13116378446519375,96.71,99.96,0.9682021695099678,0.9671,0.966921612712848,5,"[5, 34, 7, 24, 9]"
24,0.17409473860405572,0.17476639037169517,93.52,99.99,0.9509324070199363,0.9352,0.935453307680386,5,"[13, 0, 38, 10, 28]"
25,0.1870197673847744,0.12465859637260437,96.32,99.99,0.9659348335379208,0.9632,0.9630899720578573,5,"[2, 31, 32, 40, 43]"
26,0.2916629287274598,0.11038491371721029,96.88,99.92,0.9697764446772439,0.9688,0.9685021162495961,5,"[41, 24, 34, 38, 5]"
27,0.2586998787596162,0.07694047134779394,97.53,99.99,0.976197677648707,0.9753,0.9753225300993852,5,"[2, 49, 43, 0, 35]"
28,0.23856945992821688,0.17873400109410287,94.42,99.95,0.9546563966169439,0.9442,0.9447388590922504,5,"[29, 10, 38, 48, 11]"
29,0.23510118119635742,0.2848986425548792,89.88,99.89,0.9245640254081882,0.8988,0.8893698937215513,5,"[16, 8, 37, 36, 45]"
30,0.21246356874472302,0.1443427882641554,94.91,99.97,0.9561171353791051,0.9491,0.9468452162132538,5,"[3, 24, 12, 46, 36]"
31,0.15923106029296302,0.13160424386933445,95.43,100.0,0.9619173529252214,0.9543,0.9549021095546512,5,"[26, 31, 28, 14, 38]"
32,0.13682208651369615,0.15888596013486386,94.6,100.0,0.9573616238951618,0.946,0.9469388001430312,5,"[11, 41, 14, 40, 21]"
33,0.10902511460893835,0.06275044110473245,98.01,99.98,0.9806348118457161,0.9801,0.9801106215222142,5,"[7, 10, 26, 49, 32]"
34,0.1359266596496264,0.06309365861248226,98.18,99.99,0.9820072114630977,0.9818,0.9817703496297818,5,"[43, 13, 15, 5, 28]"
35,0.1958374495043599,0.059247218508459626,98.22,99.99,0.9824301232854328,0.9822,0.9822004170035871,5,"[44, 18, 14, 2, 5]"
36,0.09782732977658289,0.054990801700390876,98.45,99.99,0.9849365528460041,0.9845,0.9845681468279488,5,"[31, 4, 36, 38, 46]"
37,0.28285407772397975,0.06632823541797697,98.11,99.99,0.9816183155125773,0.9811,0.9811395205388839,5,"[4, 2, 26, 20, 47]"
38,0.13163001477767136,0.1404700426861644,95.55,100.0,0.9608658712498133,0.9555,0.9558485548071599,5,"[44, 30, 46, 19, 21]"
39,0.20420380873815117,0.08914720473177731,97.22,99.99,0.9736901133060288,0.9722,0.9723788338991267,5,"[35, 2, 39, 38, 30]"
40,0.11538793949398438,0.1073202895693481,96.53,99.97,0.9689156934500821,0.9653,0.9657354510756962,5,"[19, 5, 27, 18, 47]"
41,0.10052213005468416,0.08623474495112896,97.54,99.99,0.9765478629975589,0.9754,0.9755140756578777,5,"[39, 11, 28, 14, 1]"
42,0.17216659400947779,0.11164006532914937,96.35,99.97,0.9659859876440514,0.9635,0.9631984845654934,5,"[21, 22, 37, 13, 7]"
43,0.15815627535996601,0.13304001404121518,95.85,99.96,0.9615076090883878,0.9585,0.9584083627539639,5,"[39, 18, 8, 26, 3]"
44,0.13698619377301485,0.06195014187507331,98.11,99.99,0.9814309267210684,0.9811,0.9811252483572758,5,"[40, 9, 6, 35, 46]"
45,0.16749210827090644,0.06577109324969352,98.1,99.99,0.9813005539772819,0.981,0.9809401711022225,5,"[11, 37, 23, 41, 29]"
46,0.11069070606545073,0.05192279446832836,98.38,100.0,0.9840812603988319,0.9838,0.9837749253021,5,"[32, 22, 35, 39, 0]"
47,0.12040739246157584,0.058648610395379365,98.21,99.98,0.9824383340274743,0.9821,0.9820938330937757,5,"[2, 43, 4, 26, 28]"
48,0.19070394053008785,0.07385988903213292,97.55,100.0,0.977126842841154,0.9755,0.9756302641499504,5,"[35, 1, 28, 13, 38]"
49,0.11281308628922801,0.08600030958466232,97.23,99.99,0.9738603155324624,0.9723,0.9721965047118043,5,"[21, 25, 40, 48, 9]"
